Index,Price_1,Price_2,Price_3,Price_4,Price_5
399,992.0,1037.1,1073.7,934.0,1007.0
400,993.0,1033.1,1074.7,933.0,1006.8
401,993.0,1032.1,1075.7,932.0,1010.5
402,989.8,1031.1,1072.0,931.0,1011.5
403,993.3,1030.1,1076.0,930.0,1011.6
404,994.0,1034.4,1077.0,929.0,1008.0
405,994.0,1035.4,1073.0,928.0,1007.0
406,995.0,1032.2,1077.0,927.0,1006.2
407,996.0,1032.2,1076.1,926.0,1005.2
408,997.0,1031.2,1072.1,925.0,1004.2
409,997.4,1034.8,1071.1,924.0,1004.0
410,994.2,1034.8,1075.2,923.7,1003.8
411,998.2,1031.0,1071.2,923.6,1002.8
412,999.2,1030.0,1070.2,922.6,1001.8
413,995.4,1029.0,1069.2,921.6,1000.8
414,999.4,1028.0,1073.0,925.4,1000.0
415,1000.4,1027.0,1073.4,925.4,999.0
416,996.2,1026.0,1074.1,926.2,998.0
417,996.2,1025.0,1070.1,922.2,997.0
418,995.2,1024.4,1069.1,921.2,996.7
419,994.6,1023.8,1068.1,920.2,1000.7
420,994.5,1022.9,1067.1,924.5,997.0
421,997.7,1022.3,1066.1,925.5,997.0
422,997.7,1022.0,1065.1,925.5,996.0
423,998.7,1026.0,1068.4,926.5,995.0
424,999.7,1027.0,1064.4,927.5,994.0
425,1000.7,1028.0,1064.4,927.9,997.2
426,1001.7,1024.2,1068.4,927.9,998.2
427,1002.7,1028.2,1069.4,928.9,998.2
428,1003.2,1029.2,1065.4,929.9,995.0
429,1003.2,1029.2,1064.4,930.9,994.0
430,1004.2,1025.5,1064.4,931.9,997.9
431,1001.0,1029.4,1063.4,932.9,993.9
432,1001.0,1026.4,1063.3,933.9,992.9
433,1004.2,1026.4,1062.3,934.9,997.0
434,1005.2,1025.4,1062.3,931.2,993.1
435,1000.2,1029.4,1061.3,931.2,997.1
436,999.2,1030.3,1060.3,935.0,993.2
437,1004.2,1031.3,1059.8,931.2,997.1
438,1004.2,1032.3,1059.8,935.2,997.8
439,1005.2,1033.3,1059.1,936.2,998.8
440,1005.4,1033.3,1063.1,932.2,998.8
441,1005.7,1034.0,1064.1,932.2,999.8
442,1005.8,1035.0,1064.8,931.2,1000.6
443,1001.8,1035.5,1064.8,934.6,1000.8
444,1006.2,1031.5,1065.8,930.6,1000.8
445,1002.5,1030.5,1066.8,934.6,1000.9
446,1006.2,1035.0,1067.8,930.6,996.9
447,1006.8,1035.0,1064.3,929.6,1000.2
448,1002.8,1036.0,1064.3,928.6,1000.3
449,1001.8,1037.0,1063.3,927.6,996.9
450,1005.2,1033.3,1066.4,926.6,996.9
451,1001.4,1032.3,1066.6,925.6,995.9
452,1001.2,1032.0,1063.0,930.2,994.9
453,1004.9,1035.7,1063.0,930.2,993.9
454,1000.9,1035.8,1062.2,931.2,993.4
455,999.9,1035.8,1066.0,932.2,993.2
456,1004.0,1036.4,1062.4,926.2,992.2
457,1004.1,1036.4,1062.1,925.2,992.1
458,1000.5,1033.0,1065.7,932.2,992.1
459,1003.8,1032.0,1062.0,932.6,991.1
460,1000.5,1037.0,1062.0,932.6,990.1
461,1000.5,1035.7,1061.0,933.6,989.8
462,999.5,1036.2,1060.0,934.6,988.8
